Country;Year;NY.GPD.PCAP.KD
Canada;2008;42063.6330521731
Canada;2007;42097.4351198181
United States;2006;53738.0917251561
United States;2005;52789.7314187756
Canada;2006;39776.1794731157
Canada;2005;38573.1997654019
Mexico;2008;9181.39996717864
Mexico;2007;9214.35353384224
Mexico;2006;9142.80477389632
Mexico;2005;8877.85129102564
United States;2008;53854.1606116578
United States;2007;54299.6172405205
