Linha	 FAT
IV	 3856.24 
AO	 13128.30 
LA	 760.53 
UT	 25170.76 
US	 1837.15 
BQ	 175.59 
BB	 935.14 
VD	 51048.72 
AD	 21380.62 
IN	 54811.21 
GM	 16169.87 
AE	 374711.46 
AX	 10758.55 
MO	 273.72 
CL	 42338.99 
LB	 115299.90 
DG	 1315.48 
Y2	 4212.15 
Y3	 900.85 
YI	 14544.11 
YQ	 5015.77 
YS	 1355.07 
YX	 5869.70 
YD	 305.53 
BD	 1248.45 
